Time,BUOY_latitude,BUOY_longitude,ROV_latitude,ROV_longitude,depth,fixed_state
20180920_155641,0.00000000,0.00000000,0.00037215,0.00037215,5.000,0
20180920_155642,37.43068000,-122.17373968,37.43105215,-122.17327103,5.000,0
20180920_155643,37.43068904,-122.17372952,37.43106118,-122.17326087,5.000,1
20180920_155644,37.43068904,-122.17372952,37.43106118,-122.17326087,5.000,1
20180920_155645,37.43068907,-122.17372213,37.43106122,-122.17325349,5.000,0
20180920_155646,37.43068706,-122.17373330,37.43105921,-122.17326466,5.000,1
20180920_155647,37.43068706,-122.17373330,37.43105921,-122.17326466,5.000,1
20180920_155648,37.43067532,-122.17371980,37.43104746,-122.17325115,5.000,0
20180920_155649,37.43068508,-122.17373708,37.43105723,-122.17326843,5.000,1
20180920_155650,37.43068508,-122.17373708,37.43105723,-122.17326843,5.000,1
20180920_155651,37.43067223,-122.17374590,37.43104438,-122.17327725,5.000,0
20180920_155652,37.43068308,-122.17374084,37.43105523,-122.17327219,5.000,1
20180920_155653,37.43068308,-122.17374084,37.43105523,-122.17327219,5.000,1
20180920_155654,37.43071467,-122.17374048,37.43108681,-122.17327183,5.000,0
20180920_155655,37.43068107,-122.17374459,37.43105322,-122.17327594,5.000,1
20180920_155656,37.43068107,-122.17374459,37.43105322,-122.17327594,5.000,1
20180920_155657,37.43067745,-122.17373407,37.43104959,-122.17326542,5.000,0
20180920_155658,37.43067905,-122.17374833,37.43105120,-122.17327968,5.000,1
20180920_155659,37.43067905,-122.17374833,37.43105120,-122.17327968,5.000,1
20180920_155700,37.43067918,-122.17376210,37.43105132,-122.17329345,5.000,0
20180920_155701,37.43067702,-122.17375206,37.43104917,-122.17328342,5.000,1
20180920_155702,37.43067702,-122.17375206,37.43104917,-122.17328342,5.000,1
20180920_155703,37.43069433,-122.17372203,37.43106647,-122.17325338,5.000,0
20180920_155704,37.43067498,-122.17375579,37.43104712,-122.17328714,5.000,1
20180920_155705,37.43067498,-122.17375579,37.43104712,-122.17328714,5.000,1
20180920_155706,37.43065742,-122.17373038,37.43102956,-122.17326174,5.000,0
20180920_155707,37.43067292,-122.17375950,37.43104507,-122.17329085,5.000,1
20180920_155708,37.43000112,-122.17420939,37.43037327,-122.17374074,5.000,0
20180920_155709,37.42999667,-122.17424009,37.43036882,-122.17377145,5.000,1
20180920_155710,37.42999667,-122.17424009,37.43036882,-122.17377145,5.000,1
20180920_155711,37.42999620,-122.17422787,37.43036834,-122.17375923,5.000,0
20180920_155712,37.42999307,-122.17424040,37.43036522,-122.17377175,5.000,1
20180920_155713,37.42999307,-122.17424040,37.43036522,-122.17377175,5.000,1
20180920_155714,37.42996496,-122.17424955,37.43033711,-122.17378091,5.000,0
20180920_155715,37.42998948,-122.17424069,37.43036162,-122.17377204,5.000,1
