Time,latitude,longitude,depth,fixed_state
20080623_171112,0.000365,0.000365,5.000,0
20080623_171112,-2.145055,-79.966164,5.000,0
20080624_205752,-2.145055,-79.966164,5.000,0
20080624_205752,-2.145053,-79.966176,5.000,0
20080626_004432,-2.145053,-79.966176,5.000,0
20080626_004432,-2.145053,-79.966165,5.000,0
20080627_043112,-2.145053,-79.966165,5.000,0
20080627_043112,-2.145063,-79.966166,5.000,0
20080628_081752,-2.145063,-79.966166,5.000,0
20080628_081752,-2.145055,-79.966174,5.000,0
20080629_120432,-2.145055,-79.966174,5.000,0
20080629_120432,-2.145048,-79.966158,5.000,0
20080630_155112,-2.145048,-79.966158,5.000,0
20080630_155112,-2.145037,-79.966147,5.000,0
20080701_193752,-2.145037,-79.966147,5.000,0
20080701_193752,-2.145048,-79.966150,5.000,0
20080702_232432,-2.145048,-79.966150,5.000,0
20080702_232432,-2.145052,-79.966156,5.000,0
20080704_031112,-2.145052,-79.966156,5.000,0
20080704_031112,-2.145048,-79.966156,5.000,0
20080705_065752,-2.145048,-79.966156,5.000,0
20080705_065752,-2.145039,-79.966136,5.000,0
20080706_104432,-2.145039,-79.966136,5.000,0
20080706_104432,-2.145037,-79.966134,5.000,0
20080707_143112,-2.145037,-79.966134,5.000,0
20080707_143112,-2.145032,-79.966133,5.000,0
20090712_232432,-2.145032,-79.966133,5.000,0
20090712_232432,-2.145062,-79.966150,5.000,0
20090714_031112,-2.145062,-79.966150,5.000,0
20090714_031112,-2.145047,-79.966142,5.000,0
20090715_065752,-2.145047,-79.966142,5.000,0
20090715_065752,-2.145046,-79.966142,5.000,0
20090716_104432,-2.145046,-79.966142,5.000,0
20090716_104432,-2.145052,-79.966152,5.000,0
20090717_143112,-2.145052,-79.966152,5.000,0
20090717_143112,-2.145052,-79.966160,5.000,0
20090718_181752,-2.145052,-79.966160,5.000,0
20090718_181752,-2.145044,-79.966163,5.000,0
20090719_220432,-2.145044,-79.966163,5.000,0
20090719_220432,-2.145039,-79.966164,5.000,0
20090721_015112,-2.145039,-79.966164,5.000,0
20090721_015112,-2.145042,-79.966173,5.000,0
20090722_053752,-2.145042,-79.966173,5.000,0
20090722_053752,-2.145047,-79.966188,5.000,0
20090723_092432,-2.145047,-79.966188,5.000,0
20090723_092432,-2.145056,-79.966186,5.000,0
20090724_131112,-2.145056,-79.966186,5.000,0
20090724_131112,-2.145041,-79.966187,5.000,0
20090725_165752,-2.145041,-79.966187,5.000,0
20090725_165752,-2.145036,-79.966185,5.000,0
20090726_204432,-2.145036,-79.966185,5.000,0
20090726_204432,-2.145042,-79.966170,5.000,0
20090728_003112,-2.145042,-79.966170,5.000,0
20090728_003112,-2.145040,-79.966167,5.000,0
20100522_151112,-2.145040,-79.966167,5.000,0
20100522_151112,-2.145006,-79.966185,5.000,0
20100523_185752,-2.145006,-79.966185,5.000,0
20100523_185752,-2.144995,-79.966185,5.000,0
20100524_224432,-2.144995,-79.966185,5.000,0
20100524_224432,-2.144994,-79.966191,5.000,0
20100526_023112,-2.144994,-79.966191,5.000,0
20100526_023112,-2.144989,-79.966187,5.000,0
20100527_061752,-2.144989,-79.966187,5.000,0
20100527_061752,-2.144997,-79.966174,5.000,0
20100528_100432,-2.144997,-79.966174,5.000,0
20100528_100432,-2.144989,-79.966166,5.000,0
20100529_135112,-2.144989,-79.966166,5.000,0
20100529_135112,-2.144979,-79.966168,5.000,0
20100530_173752,-2.144979,-79.966168,5.000,0
20100530_173752,-2.145007,-79.966163,5.000,0
20100531_212432,-2.145007,-79.966163,5.000,0
20100531_212432,-2.145018,-79.966163,5.000,0
20100602_011112,-2.145018,-79.966163,5.000,0
20100602_011112,-2.145014,-79.966170,5.000,0
20100603_045752,-2.145014,-79.966170,5.000,0
20100603_045752,-2.145020,-79.966168,5.000,0
20100604_084432,-2.145020,-79.966168,5.000,0
20100604_084432,-2.144959,-79.966203,5.000,0
20100605_123112,-2.144959,-79.966203,5.000,0
